number,description,parent_code,level
0203015.01,Beginbalans (overname eindsaldo vorig jaar) verbouwingen,,5
0203015.02,Investeringen verbouwingen,,5
0203015.05,Verwervingen via fusies en overnames verbouwingen,,5
0203015.06,Desinvesteringen verbouwingen,,5
0203015.08,Omrekeningsverschillen verbouwingen,,5
0203015.09,Overboekingen verbouwingen,,5
0203015.10,Overige mutaties verbouwingen,,5
0203020.01,Beginbalans (overname eindsaldo vorig jaar) verbouwingen,,5
0203020.02,Afschrijvingen verbouwingen,,5
0203020.03,Afschrijving op desinvesteringen verbouwingen,,5
0203020.04,Bijzondere waardeverminderingen verbouwingen,,5
0203020.05,Terugneming van bijzondere waardeverminderingen verbouwingen,,5
0203020.06,Herclassificatie afschrijvingen verbouwingen,,5
0203020.07,Overige mutaties afschrijvingen verbouwingen,,5
0203030.01,Beginbalans (overname eindsaldo vorig jaar) verbouwingen,,5
0203030.02,Herwaarderingen verbouwingen,,5
0203030.03,Afschrijving herwaarderingen verbouwingen,,5
0203030.04,Desinvestering herwaarderingen verbouwingen,,5
0203030.05,Herclassificatie herwaarderingen verbouwingen,,5
0203030.06,Overige mutaties herwaarderingen verbouwingen,,5
0210010.01,Beginbalans (overname eindsaldo vorig jaar) machines en installaties,,5
0210010.02,Investeringen machines en installaties,,5
0210010.05,Verwervingen via fusies en overnames machines en installaties,,5
0210010.06,Desinvesteringen machines en installaties,,5
0210010.07,Afstotingen machines en installaties,,5
0210010.11,Herclassificatie machines en installaties,,5
0210010.08,Omrekeningsverschillen machines en installaties,,5
0210010.09,Overboekingen machines en installaties,,5
0210010.10,Overige mutaties machines en installaties,,5
0210015.01,Beginbalans (overname eindsaldo vorig jaar) machines en installaties,,5
0210015.02,Investeringen machines en installaties,,5
0210015.05,Verwervingen via fusies en overnames machines en installaties,,5
0210015.06,Desinvesteringen machines en installaties,,5
0210015.07,Afstotingen machines en installaties,,5
0210015.08,Omrekeningsverschillen machines en installaties,,5
0210015.09,Overboekingen machines en installaties,,5
0210015.10,Overige mutaties machines en installaties,,5
0210020.01,Beginbalans (overname eindsaldo vorig jaar) machines en installaties,,5
0210020.02,Afschrijvingen machines en installaties,,5
0210020.03,Afschrijving op desinvesteringen machines en installaties,,5
